BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
131,"Australia",1950,"MF",15,999,1.51,44.57,25.82,39.90,18.97,14.04,8.46,8.62,5.35,2.82,0.45,6040,"AUS","Advanced Economies"
131,"Australia",1955,"MF",15,999,1.26,39.61,22.12,43.90,20.91,15.27,8.74,8.97,5.40,3.09,0.48,6533,"AUS","Advanced Economies"
131,"Australia",1960,"MF",15,999,1.06,35.45,19.34,47.03,22.19,16.51,9.40,9.29,5.46,3.32,0.52,7183,"AUS","Advanced Economies"
131,"Australia",1965,"MF",15,999,0.80,31.30,16.93,50.19,23.36,17.71,9.86,9.61,5.52,3.54,0.55,8105,"AUS","Advanced Economies"
131,"Australia",1970,"MF",15,999,0.76,23.73,12.70,56.25,26.50,19.26,10.64,10.16,5.62,3.94,0.60,9057,"AUS","Advanced Economies"
131,"Australia",1975,"MF",15,999,1.12,14.20,7.30,62.89,31.61,21.79,12.05,10.86,5.73,4.46,0.68,9865,"AUS","Advanced Economies"
131,"Australia",1980,"MF",15,999,0.80,6.10,3.20,69.02,36.01,24.08,13.43,11.54,5.86,4.93,0.75,10937,"AUS","Advanced Economies"
131,"Australia",1985,"MF",15,999,0.81,6.54,3.49,68.61,36.88,24.04,13.80,11.54,5.86,4.92,0.76,11973,"AUS","Advanced Economies"
131,"Australia",1990,"MF",15,999,0.67,5.67,3.16,68.15,37.76,25.51,14.77,11.60,5.88,4.91,0.81,13178,"AUS","Advanced Economies"
131,"Australia",1995,"MF",15,999,0.73,4.95,2.89,66.46,37.51,27.86,16.53,11.68,5.89,4.90,0.89,14009,"AUS","Advanced Economies"
131,"Australia",2000,"MF",15,999,0.70,4.26,2.60,64.98,37.54,30.06,18.00,11.77,5.91,4.90,0.96,15028,"AUS","Advanced Economies"
131,"Australia",2005,"MF",15,999,0.69,3.53,2.29,64.14,37.81,31.64,18.90,11.88,5.92,4.95,1.01,16199,"AUS","Advanced Economies"
131,"Australia",2010,"MF",15,999,0.87,2.83,1.94,61.84,37.42,34.46,20.53,12.12,6.00,5.02,1.10,17323,"AUS","Advanced Economies"
107,"Austria",1950,"MF",15,999,2.80,91.19,55.97,4.04,3.59,1.91,1.11,3.70,3.18,0.46,0.06,5354,"AUT","Advanced Economies"
107,"Austria",1955,"MF",15,999,2.48,90.92,56.26,4.59,3.84,1.96,1.13,3.76,3.21,0.49,0.06,5399,"AUT","Advanced Economies"
107,"Austria",1960,"MF",15,999,2.24,86.73,54.28,8.89,7.01,2.08,1.20,4.13,3.26,0.80,0.07,5490,"AUT","Advanced Economies"
107,"Austria",1965,"MF",15,999,3.31,70.84,46.71,23.57,18.18,2.25,1.30,5.31,3.38,1.85,0.07,5571,"AUT","Advanced Economies"
107,"Austria",1970,"MF",15,999,3.65,57.72,39.62,36.14,26.89,2.48,1.44,6.29,3.49,2.72,0.08,5647,"AUT","Advanced Economies"
107,"Austria",1975,"MF",15,999,1.38,53.30,37.55,42.51,30.52,2.80,1.61,6.86,3.63,3.15,0.09,5818,"AUT","Advanced Economies"
107,"Austria",1980,"MF",15,999,0.10,49.23,35.68,47.96,33.29,2.71,1.54,7.28,3.72,3.47,0.08,6006,"AUT","Advanced Economies"
107,"Austria",1985,"MF",15,999,0.42,44.59,32.72,50.71,35.11,4.34,2.52,7.66,3.75,3.78,0.14,6191,"AUT","Advanced Economies"
107,"Austria",1990,"MF",15,999,0.90,39.68,29.31,54.26,37.85,5.15,3.04,8.02,3.76,4.10,0.16,6380,"AUT","Advanced Economies"
107,"Austria",1995,"MF",15,999,1.31,33.92,25.59,56.02,39.36,8.76,5.32,8.58,3.78,4.52,0.28,6636,"AUT","Advanced Economies"
107,"Austria",2000,"MF",15,999,1.29,30.23,22.91,56.75,39.65,11.73,7.19,8.98,3.80,4.79,0.38,6753,"AUT","Advanced Economies"
107,"Austria",2005,"MF",15,999,1.25,26.55,20.21,58.18,38.72,14.02,8.58,9.27,3.82,5.00,0.45,6921,"AUT","Advanced Economies"
107,"Austria",2010,"MF",15,999,1.24,24.61,18.91,60.01,42.56,14.14,8.59,9.52,3.84,5.23,0.45,7090,"AUT","Advanced Economies"
108,"Belgium",1950,"MF",15,999,3.11,68.37,49.19,25.25,7.27,3.26,2.39,6.52,5.24,1.17,0.11,6833,"BEL","Advanced Economies"
108,"Belgium",1955,"MF",15,999,2.64,65.76,47.26,27.90,8.03,3.69,2.73,6.71,5.29,1.30,0.13,6935,"BEL","Advanced Economies"
108,"Belgium",1960,"MF",15,999,2.22,62.77,45.13,30.47,8.96,4.51,3.39,6.95,5.34,1.45,0.16,7001,"BEL","Advanced Economies"
108,"Belgium",1965,"MF",15,999,1.43,60.96,44.44,32.33,9.58,5.29,4.05,7.18,5.42,1.57,0.19,7204,"BEL","Advanced Economies"
108,"Belgium",1970,"MF",15,999,1.28,57.08,42.88,35.06,11.31,6.59,5.11,7.52,5.50,1.79,0.23,7378,"BEL","Advanced Economies"
108,"Belgium",1975,"MF",15,999,1.62,50.37,39.26,39.09,17.89,8.92,7.21,8.14,5.57,2.24,0.32,7624,"BEL","Advanced Economies"
108,"Belgium",1980,"MF",15,999,2.25,43.85,34.55,42.64,21.78,11.26,8.93,8.60,5.59,2.61,0.40,7884,"BEL","Advanced Economies"
108,"Belgium",1985,"MF",15,999,2.72,37.93,29.56,45.28,24.80,14.06,11.21,9.04,5.58,2.95,0.51,8003,"BEL","Advanced Economies"
108,"Belgium",1990,"MF",15,999,3.20,30.33,23.11,49.22,27.90,17.22,13.76,9.56,5.59,3.35,0.62,8162,"BEL","Advanced Economies"
108,"Belgium",1995,"MF",15,999,3.70,26.04,18.86,50.05,29.50,20.18,16.15,9.88,5.56,3.60,0.73,8315,"BEL","Advanced Economies"
108,"Belgium",2000,"MF",15,999,4.12,22.08,15.05,51.25,31.24,22.52,18.04,10.18,5.54,3.83,0.81,8510,"BEL","Advanced Economies"
108,"Belgium",2005,"MF",15,999,4.72,16.72,11.45,54.16,32.58,24.40,18.08,10.47,5.56,4.07,0.85,8667,"BEL","Advanced Economies"
108,"Belgium",2010,"MF",15,999,4.70,15.81,10.26,55.19,36.50,24.30,19.49,10.62,5.55,4.20,0.88,8815,"BEL","Advanced Economies"
50,"Canada",1950,"MF",15,999,2.04,49.90,25.72,39.50,16.45,8.55,4.40,7.60,5.15,2.19,0.26,9660,"CAN","Advanced Economies"
50,"Canada",1955,"MF",15,999,1.72,46.69,24.60,40.72,17.28,10.87,5.65,7.96,5.23,2.39,0.33,10684,"CAN","Advanced Economies"
50,"Canada",1960,"MF",15,999,1.41,42.86,23.29,42.19,18.05,13.56,7.06,8.36,5.33,2.62,0.41,11901,"CAN","Advanced Economies"
50,"Canada",1965,"MF",15,999,1.33,38.09,21.24,45.15,16.66,15.46,7.96,8.67,5.42,2.78,0.47,13110,"CAN","Advanced Economies"
50,"Canada",1970,"MF",15,999,1.08,31.95,16.81,48.62,17.56,18.35,9.46,9.12,5.48,3.09,0.56,15179,"CAN","Advanced Economies"
50,"Canada",1975,"MF",15,999,1.43,24.26,10.75,51.84,19.01,22.47,12.58,9.68,5.51,3.47,0.70,17085,"CAN","Advanced Economies"
50,"Canada",1980,"MF",15,999,1.59,19.11,8.79,53.61,20.17,25.68,15.08,10.16,5.59,3.75,0.82,18942,"CAN","Advanced Economies"
50,"Canada",1985,"MF",15,999,1.00,16.69,6.79,63.89,24.72,18.42,11.24,10.00,5.64,3.76,0.59,20338,"CAN","Advanced Economies"
50,"Canada",1990,"MF",15,999,0.83,13.49,5.37,64.90,27.25,20.77,13.36,10.40,5.71,4.01,0.68,21968,"CAN","Advanced Economies"
50,"Canada",1995,"MF",15,999,0.88,11.41,4.99,63.53,29.36,24.18,15.11,10.78,5.75,4.24,0.79,23330,"CAN","Advanced Economies"
50,"Canada",2000,"MF",15,999,0.86,9.28,3.58,64.03,30.19,25.83,17.95,11.03,5.78,4.38,0.88,24830,"CAN","Advanced Economies"
50,"Canada",2005,"MF",15,999,0.77,6.09,2.72,53.34,32.25,39.80,26.14,12.13,5.85,4.96,1.32,26588,"CAN","Advanced Economies"
50,"Canada",2010,"MF",15,999,0.72,5.18,2.42,58.91,38.62,35.19,23.33,12.08,5.87,5.04,1.17,28292,"CAN","Advanced Economies"
110,"Denmark",1950,"MF",15,999,8.01,61.89,37.96,23.19,10.78,6.90,4.24,7.26,5.60,1.43,0.22,3147,"DNK","Advanced Economies"
110,"Denmark",1955,"MF",15,999,7.22,60.48,37.22,25.01,11.32,7.29,4.42,7.44,5.68,1.53,0.23,3262,"DNK","Advanced Economies"
